"prov_code","prov_name","muni_code","muni_name","c1842","c1857","c1860","c1877","c1887","c1897","c1900","c1910","c1920","c1930","c1940","c1950","c1960","c1970","c1981","c1991","c2001","c2011"
19,"guadalajara","195025","Picazo",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195026","Pradilla",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195027","Querencia",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195028","Rata",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195029","Razbona",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19503","Aleas",150,NA,NA,268,316,268,256,270,264,211,42,114,105,NA,NA,NA,NA,NA
19,"guadalajara","195030","Rienda",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195031","Robredarcas",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195032","Romerosa",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195033","Sacedoncillo",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195034","Santamera",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195035","Santotis y San Tirso",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195036","Teroleja",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195037","Tobes",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195038","Tordelloso",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195039","Tordelpalo",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19504","Almiruete",195,NA,NA,334,303,250,259,248,215,177,181,169,156,NA,NA,NA,NA,NA
19,"guadalajara","195040","Tovillos",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195041","Umbralejo",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195042","Ures de Pozanco",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195043","Valdealmendras",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195044","Valdepinillos",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195045","Valsalobre",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","195046","Ventosa",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19505","Archilla",135,NA,NA,260,299,261,277,315,313,309,284,242,201,NA,NA,NA,NA,NA
19,"guadalajara","19506","Atance, El",172,NA,NA,235,265,254,265,300,286,224,212,179,134,NA,NA,NA,NA,NA
19,"guadalajara","19507","Azanon",422,NA,NA,333,284,309,300,277,271,214,242,283,229,NA,NA,NA,NA,NA
19,"guadalajara","19508","Balbacil",192,NA,NA,345,307,309,321,331,277,241,233,215,168,NA,NA,NA,NA,NA
19,"guadalajara","19509","Balconete",290,NA,NA,450,431,411,424,465,417,483,502,475,405,NA,NA,NA,NA,NA
19,"guadalajara","19510","Belena de Sorbe",150,NA,NA,173,219,245,232,248,273,203,185,197,150,NA,NA,NA,NA,NA
19,"guadalajara","19511","Bocigano",226,NA,NA,285,299,323,310,295,250,228,229,203,171,NA,NA,NA,NA,NA
19,"guadalajara","19512","Cabezadas, Las",33,NA,NA,166,159,189,207,191,172,169,137,153,111,NA,NA,NA,NA,NA
19,"guadalajara","19513","Cabrera, La",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19514","Canamares",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"guadalajara","19515","Carabias",93,NA,NA,234,248,248,258,267,257,266,239,175,106,NA,NA,NA,NA,NA
19,"guadalajara","19516","Castilmimbre",223,NA,NA,246,252,247,270,253,246,241,286,289,296,NA,NA,NA,NA,NA
19,"guadalajara","19517","Cillas",132,NA,NA,269,241,269,273,269,246,238,229,195,151,NA,NA,NA,NA,NA
